educ,wage,female
13,26.33,1
11,19.24,1
12,24.32,1
15,35.07,1
9,22.09,1
10,20.78,1
11,34.13,1
11,29.04,1
14,36.04,1
12,27.24,1
15,36.34,1
14,45.04,1
9,29.07,1
14,31.19,1
12,22.85,1
12,27.4,1
9,21.81,1
11,27.79,1
12,29.87,1
16,39.17,1
13,35.04,1
11,39.43,1
12,25.75,1
15,28.58,1
9,20.77,1
10,22.09,1
11,28.65,1
11,24.12,1
14,37.79,1
12,22.97,1
15,35.63,1
14,26.06,1
9,26.47,1
14,23.43,1
12,27.15,1
12,31.7,1
9,17.14,1
11,28.14,1
12,33.39,1
16,34.04,1
13,30.74,1
11,26.32,1
12,31.74,1
15,47.12,1
9,16.69,1
10,29.41,1
11,30.24,1
11,19.11,1
14,31.5,1
12,30.89,1
15,37.44,1
14,38.97,1
9,28.13,1
14,34.18,1
12,34.01,1
12,34.08,1
9,34.72,1
11,14.1,1
12,34.83,1
16,43.87,1
13,27.85,1
11,28.5,1
12,26.42,1
15,33.9,1
9,22.38,1
10,21.2,1
11,19.37,1
11,24.7,1
14,36.1,1
12,27.93,1
15,35.03,1
14,25.36,1
9,21.79,1
14,39.99,1
12,28.86,1
12,34.38,1
9,21.94,1
11,33.68,1
12,25.75,1
16,31.22,1
13,33.26,1
11,21.09,1
12,34.39,1
15,35.78,1
9,29.2,1
10,22.95,1
11,29.71,1
11,22.83,1
14,31.57,1
12,22.96,1
15,46.56,1
14,33.31,1
9,33.8,1
14,29.69,1
12,29.64,1
12,33.73,1
9,21.53,1
11,29.31,1
12,21.98,1
16,46.11,1
13,31.44,1
11,23.83,1
12,25.85,1
15,39.48,1
9,15.91,1
10,16.87,1
11,25.73,1
11,26.46,1
14,34.54,1
12,36.23,1
15,33.96,1
14,37.14,1
9,25.48,1
14,24.42,1
12,21.2,1
12,37.42,1
9,21.68,1
11,39.79,1
12,18,1
16,36.34,1
13,35.59,1
11,28.94,1
12,24.59,1
15,41.87,1
9,21.33,1
10,31.34,1
11,29.21,1
11,32.09,1
14,25.42,1
12,32.17,1
15,41.54,1
14,28.8,1
9,31.53,1
14,41.63,1
12,21.23,1
12,23.62,1
9,11.69,1
11,27.16,1
12,23.56,1
16,27.11,1
13,32.51,1
11,30.85,1
12,26.92,1
15,31.91,1
9,25.39,1
10,30.72,1
11,28.56,1
11,14.7,1
14,34.73,1
12,31.17,1
15,24.88,1
14,40.48,1
9,12.38,1
14,34.34,1
12,25.64,1
12,25.95,1
9,17.37,1
11,36.81,1
12,25.08,1
16,42.04,1
13,27.33,1
11,24.77,1
