"ID","Journal","Gender"
"1","Economist","Male"
"2","Economist","Male"
"3","Economist","Male"
"4","Economist","Male"
"5","Economist","Male"
"6","Economist","Male"
"7","Economist","Male"
"8","Economist","Male"
"9","Economist","Male"
"10","Economist","Male"
"11","Economist","Female"
"12","Economist","Female"
"13","Economist","Female"
"14","Economist","Female"
"15","Economist","Female"
"16","Cosmopolitan","Male"
"17","Cosmopolitan","Male"
"18","Cosmopolitan","Male"
"19","Cosmopolitan","Male"
"20","Cosmopolitan","Male"
"21","Cosmopolitan","Female"
"22","Cosmopolitan","Female"
"23","Cosmopolitan","Female"
"24","Cosmopolitan","Female"
"25","Cosmopolitan","Female"
"26","Cosmopolitan","Female"
"27","Cosmopolitan","Female"
"28","Cosmopolitan","Female"
"29","Cosmopolitan","Female"
"30","Cosmopolitan","Female"
"31","Sports Illustrated","Male"
"32","Sports Illustrated","Male"
"33","Sports Illustrated","Male"
"34","Sports Illustrated","Male"
"35","Sports Illustrated","Male"
"36","Sports Illustrated","Male"
"37","Sports Illustrated","Male"
"38","Sports Illustrated","Male"
"39","Sports Illustrated","Male"
"40","Sports Illustrated","Male"
"41","Sports Illustrated","Male"
"42","Sports Illustrated","Male"
"43","Sports Illustrated","Male"
"44","Sports Illustrated","Male"
"45","Sports Illustrated","Male"
"46","Sports Illustrated","Male"
"47","Sports Illustrated","Male"
"48","Sports Illustrated","Male"
"49","Sports Illustrated","Male"
"50","Sports Illustrated","Male"
"51","Sports Illustrated","Male"
"52","Sports Illustrated","Male"
"53","Sports Illustrated","Male"
"54","Sports Illustrated","Male"
"55","Sports Illustrated","Male"
"56","Sports Illustrated","Female"
"57","Sports Illustrated","Female"
"58","Sports Illustrated","Female"
"59","Sports Illustrated","Female"
"60","Sports Illustrated","Female"
"61","Sports Illustrated","Female"
"62","Sports Illustrated","Female"
"63","Sports Illustrated","Female"
"64","Sports Illustrated","Female"
"65","Sports Illustrated","Female"
"66","Cosmopolitan","Female"
"67","Cosmopolitan","Female"
"68","Cosmopolitan","Female"
"69","Cosmopolitan","Female"
"70","Cosmopolitan","Female"
"71","Cosmopolitan","Female"
"72","Cosmopolitan","Female"
"73","Cosmopolitan","Female"
"74","Cosmopolitan","Female"
"75","Cosmopolitan","Female"
"76","Cosmopolitan","Female"
"77","Cosmopolitan","Female"
"78","Cosmopolitan","Female"
"79","Cosmopolitan","Female"
"80","Cosmopolitan","Female"
"81","Cosmopolitan","Female"
"82","Cosmopolitan","Female"
"83","Cosmopolitan","Female"
"84","Cosmopolitan","Female"
"85","Cosmopolitan","Female"
"86","Cosmopolitan","Female"
"87","Cosmopolitan","Female"
"88","Cosmopolitan","Female"
"89","Cosmopolitan","Female"
"90","Cosmopolitan","Female"
"91","Cosmopolitan","Female"
"92","Cosmopolitan","Female"
"93","Cosmopolitan","Female"
"94","Cosmopolitan","Female"
"95","Cosmopolitan","Female"
"96","Cosmopolitan","Female"
"97","Cosmopolitan","Female"
"98","Cosmopolitan","Female"
"99","Cosmopolitan","Female"
"100","Cosmopolitan","Female"
