P,Q
1,220
1,196.2
1,206.2
1,190
1,188
1,204.8
1,189
1,198.5
1,213.3
1,195
2,155
2,150.1
2,153.4
2,149.6
2,150.3
2,151.5
2,155
2,135
2,149.1
2,140
3,115
3,121
3,124.1
3,125.1
3,123.6
3,118.3
3,120
3,125.5
3,114.4
3,127.4
4,101.1
4,107.4
4,94.7
4,97
4,106
4,97.2
4,98.4
4,106.5
4,96.7
4,95.5
5,91.7
5,85.9
5,91.5
5,89
5,86.5
5,84.7
5,85.5
5,87.5
5,88.6
5,87
6,78
6,77.5
6,79.7
6,77
6,87.9
6,77.6
6,77.8
6,82.8
6,79.4
6,88
7,77
7,81.3
7,81
7,80
7,76.7
7,74.8
7,78
7,80.4
7,74
7,72
8,66
8,72.5
8,76
8,74.5
8,76.2
8,72.9
8,74.7
8,68
8,71.6
8,70
9,65
9,69.4
9,68.3
9,65.6
9,66.9
9,66.1
9,67.5
9,66.6
9,71.1
9,69.4
10,66
10,65
10,65.3
10,66.2
10,66.4
10,64.9
10,69.7
10,60
10,66.9
10,62
