AR,BD,BR,CHN,CO,CR,EG,IN,ID,JO,KE,MY,MX,MR,NE,PK,PE,PH,RU,ZA,LK,TH,TR,VE,VN,ZW
,84.82533719,,89.52021424,256.9628473,376.9687856,,83.03510182,,,102.0798677,244.6110291,359.5450597,172.5993195,93.39704772,81.5869473,,263.8371238,,529.5619227,144.1018539,103.8009566,275.0416985,939.5608061,,276.6433633
,92.85511294,,75.80556079,280.5791374,351.2010859,,85.96970419,,,98.53525056,235.5296658,378.2120277,167.1652985,97.42096828,87.51737247,,278.4772671,,543.0422237,144.1029503,110.7314565,282.7424641,954.3553613,,279.3326561
,95.04780522,,70.90915243,296.8938047,331.1462142,,90.27686893,,,103.7966527,240.4417571,392.9345914,191.2201996,104.8527493,89.49333554,,164.1355767,,560.6993945,139.6851095,117.1621135,307.3062858,1006.879977,,275.9661394
,96.55221002,,74.31337177,280.9934943,341.5761929,,101.315165,,,106.5388113,292.5758185,424.189634,208.0873718,108.0157416,93.88388625,,177.3313519,,601.5999509,117.9623116,121.604327,347.1770906,1060.570324,,277.5325155
,94.86755768,,85.49824259,336.7220688,349.9013435,,115.4876084,,,110.3920209,302.6761683,485.80005,213.7559814,113.6583753,102.9612072,,186.5409251,,642.6884307,121.5646412,129.5790389,365.1338692,874.1994115,,282.3768564
,100.9678759,,98.4864177,315.2123295,369.9805597,160.5747365,119.0824759,,548.4901882,105.9676527,325.1933193,511.020745,219.4827881,117.6653708,114.3720186,,198.6661451,,681.1311113,153.8998509,141.8519505,381.4133432,869.9068673,,294.8936049
,106.8557235,,104.3241848,288.5758901,391.211288,166.9561122,89.75758261,,561.064605,118.79696,336.5564422,550.4698833,208.522934,124.7918564,123.3304709,,213.2939156,,718.1181791,155.0012242,165.5774542,438.2586089,877.1960494,,279.3377791
,116.7963205,,96.58917883,301.1363825,409.9831184,172.9638574,96.04632985,53.33819572,499.083297,120.8265161,332.8006738,581.7294506,214.9808655,99.85740444,136.6380925,,223.1535328,,775.152812,160.7003487,171.6983737,473.6938271,894.6838178,,295.0564493
,116.9405348,,91.4723839,299.9226051,440.6006687,178.657108,99.51683612,64.83917995,410.5822552,127.5024629,339.096539,622.4250634,224.7494659,97.74452712,143.2879463,,242.8683592,,813.5084967,152.0530656,179.87237,516.4668063,940.2014199,,302.8028709
,128.6079261,,100.1295372,316.3050073,472.6718324,191.918574,107.1821431,74.3422146,476.5864539,132.1049576,364.2086197,666.7433859,244.2866516,122.0424175,150.5478041,,262.4052429,,887.2467023,162.184392,192.4634019,560.6437496,934.0476074,,346.5389203
,133.1429452,,113.1625778,344.3325998,530.7063376,231.2174024,111.9683182,79.41345543,410.6397976,139.7572736,374.9228805,706.3131871,257.7296448,225.7739995,169.1240002,,201.9232587,,948.5917938,185.3671328,197.9937498,502.6206744,1018.108984,,362.1441468
,127.9954527,,118.654144,365.3459511,565.2875631,242.1332786,118.1605289,78.86575683,414.4419971,149.4640262,402.2149282,755.3324884,276.5081177,161.5439014,175.19892,,217.9774868,,1016.483365,187.2282847,200.3640683,444.6283219,1109.42701,,406.2175033
,90.67836556,,131.8855585,395.9876223,633.19966,255.971414,122.6124534,90.51205917,462.5092077,171.0050917,466.9066045,844.1744381,313.9982605,210.9954798,150.6172113,,230.0747314,,1034.49214,197.757935,216.1492348,555.286129,1158.859765,,483.9699742
,113.6657027,,157.0891109,460.6007113,762.0825583,272.0453531,143.456125,130.4897437,533.9913793,196.623957,692.6814986,1000.937872,376.7793274,254.3873472,99.29793153,,282.4427967,,1364.206061,218.3509815,278.8200198,683.7024994,1371.094578,,579.2964182
